,fecha,estacion,tsm,ano,mes,chla,mes_num,est_index,longitud,latitud,evento,oni,estacion_climatica
6881,2015-05-01,est_6,25.8756,2015.0,5,0.332,05,5.0,-111.1,25.8,Niño,0.9,MAM
6882,2015-05-01,est_7,25.8094,2015.0,5,0.3186,05,6.0,-111.2,26.3,Niño,0.9,MAM
6883,2015-05-01,est_8,25.5783,2015.0,5,0.3906,05,7.0,-111.5,26.8,Niño,0.9,MAM
6884,2015-05-01,est_9,25.5989,2015.0,5,0.6217,05,8.0,-111.9,27.2,Niño,0.9,MAM
6885,2015-06-01,est_1,29.38,2015.0,6,0.1508,06,0.0,-109.3,23.8,Niño,1.2,JJA
6886,2015-06-01,est_10,28.0617,2015.0,6,0.7327,06,9.0,-112.3,27.6,Niño,1.2,JJA
6887,2015-06-01,est_11,28.3183,2015.0,6,0.6491,06,10.0,-112.6,28.0,Niño,1.2,JJA
6888,2015-06-01,est_12,27.9195,2015.0,6,1.4774,06,11.0,-112.9,28.5,Niño,1.2,JJA
6889,2015-06-01,est_13,26.3978,2015.0,6,2.516,06,12.0,-113.2,28.9,Niño,1.2,JJA
6890,2015-06-01,est_14,25.5111,2015.0,6,0.9264,06,13.0,-113.6,29.4,Niño,1.2,JJA
6891,2015-06-01,est_15,26.58,2015.0,6,0.8257,06,14.0,-114.0,29.7,Niño,1.2,JJA
6892,2015-06-01,est_16,25.5839,2015.0,6,1.2028,06,15.0,-114.5,30.2,Niño,1.2,JJA
6893,2015-06-01,est_17,26.0361,2015.0,6,1.1483,06,16.0,-114.5,30.7,Niño,1.2,JJA
6894,2015-06-01,est_2,29.3922,2015.0,6,0.1751,06,1.0,-109.7,24.2,Niño,1.2,JJA
6895,2015-06-01,est_3,28.5845,2015.0,6,0.2877,06,2.0,-110.1,24.6,Niño,1.2,JJA
6896,2015-06-01,est_4,27.7411,2015.0,6,0.2997,06,3.0,-110.5,24.8,Niño,1.2,JJA
6897,2015-06-01,est_5,29.5306,2015.0,6,0.2489,06,4.0,-110.8,25.3,Niño,1.2,JJA
6898,2015-06-01,est_6,29.1433,2015.0,6,0.3608,06,5.0,-111.1,25.8,Niño,1.2,JJA
6899,2015-06-01,est_7,28.8961,2015.0,6,0.3927,06,6.0,-111.2,26.3,Niño,1.2,JJA
6900,2015-06-01,est_8,29.1094,2015.0,6,0.368,06,7.0,-111.5,26.8,Niño,1.2,JJA
6901,2015-06-01,est_9,29.1506,2015.0,6,0.597,06,8.0,-111.9,27.2,Niño,1.2,JJA
6902,2015-07-01,est_1,30.995,2015.0,7,0.1906,07,0.0,-109.3,23.8,Niño,1.5,JJA
6903,2015-07-01,est_10,30.9561,2015.0,7,0.2677,07,9.0,-112.3,27.6,Niño,1.5,JJA
6904,2015-07-01,est_11,30.3356,2015.0,7,1.096,07,10.0,-112.6,28.0,Niño,1.5,JJA
6905,2015-07-01,est_12,28.6761,2015.0,7,1.9361,07,11.0,-112.9,28.5,Niño,1.5,JJA
6906,2015-07-01,est_13,28.4372,2015.0,7,1.7182,07,12.0,-113.2,28.9,Niño,1.5,JJA
